strain/-,stress/MPa
1.76,1667.9339408399942
1.77,1668.8600535043388
1.78,1669.7814598985108
1.79,1670.6982101706947
1.8,1671.61035365831
1.81,1672.5179389055372
1.82,1673.421013680372
1.83,1674.3196249912212
1.84,1675.2138191030551
1.85,1676.1036415531312
1.86,1676.9891371663011
1.87,1677.870350069916
1.88,1678.7473237083439
1.89,1679.620100857105
1.9,1680.4887236366471
1.91,1681.353233525762
1.92,1682.2136713746609
1.93,1683.0700774177146
1.94,1683.9224912858745
1.95,1684.7709520187766
1.96,1685.6154980765446
1.97,1686.4561673512983
1.98,1687.2929971783744
1.99,1688.126024347273
2.0,1688.9552851123324
2.02,1690.602649834723
2.04,1692.235371066534
2.06,1693.8537206070343
2.08,1695.457962632509
2.1,1697.0483539809807
2.12,1698.6251444236955
2.14,1700.1885769241114
2.16,1701.7388878850713
2.18,1703.2763073848078
2.2,1704.8010594023785
2.22,1706.3133620330973
2.24,1707.8134276944943
2.26,1709.301463323297
2.28,1710.7776705639012
2.3,1712.2422459487732
2.32,1713.6953810711916
2.34,1715.1372627507199
2.36,1716.5680731917719
2.38,1717.9879901356203
2.4,1719.3971870061625
2.42,1720.7958330497606
2.44,1722.1840934694346
2.46,1723.5621295536855
2.48,1724.930098800203
2.5,1726.2881550347042
2.52,1727.6364485251247
2.54,1728.9751260913888
2.56,1730.304331210953
2.58,1731.6242041203282
2.6,1732.9348819127524
2.62,1734.236498632197
2.64,1735.5291853638694
2.66,1736.813070321361
2.68,1738.0882789306002
2.7,1739.3549339107428
2.72,1740.6131553521343
2.74,1741.863060791474
2.76,1743.104765284297
2.78,1744.3383814748909
2.8,1745.5640196637564
2.82,1746.7817878727112
2.84,1747.9917919077404
2.86,1749.194135419683
2.88,1750.3889199628452
2.9,1751.5762450516265
2.92,1752.7562082152328
2.94,1753.9289050505668
2.96,1755.09442927335
2.98,1756.2528727675672
3.0,1757.4043256332795
