Disp /mm,Force /kN
0.104200969,7.710607545
0.104417894,7.73027072
0.105069776,7.749973614
0.104753827,7.770193882
0.105515831,7.790419666
0.105846356,7.810488736
0.105955988,7.830492881
0.106286131,7.850628215
0.106823622,7.870357695
0.106952261,7.889892266
0.107293432,7.91029082
0.10761583,7.931523187
0.108203822,7.95306119
0.108523943,7.974461194
0.108587108,7.994807749
0.108886398,8.014159387
0.109417035,8.033977546
0.109697661,8.054031444
0.11034783,8.074170281
0.110362706,8.094469542
0.111026165,8.115295428
0.111273853,8.135918523
0.111106137,8.155908528
0.111614605,8.176033704
0.112124031,8.196674137
0.112501543,8.217471072
0.11268451,8.238476465
0.113122578,8.259243282
0.113373255,8.279617713
0.11370905,8.30013374
0.113956613,8.32043505
0.114016769,8.340843581
0.114254185,8.361159103
0.114629913,8.381387292
0.114900019,8.401833228
0.115504766,8.421734338
0.116090957,8.441577334
0.116091382,8.462166312
0.116516462,8.483768162
0.116734934,8.505524307
0.117070429,8.527292935
0.117202755,8.548680325
0.117871976,8.569083621
0.118166191,8.589217699
0.118026368,8.609401531
0.118973333,8.629240632
0.119110168,8.648633107
0.119605194,8.669295973
0.119727363,8.690303484
0.120240331,8.711031829
0.120606602,8.731813078
0.12083783,8.752878279
0.121186747,8.773773452
0.121163753,8.794713269
0.121469345,8.815646973
0.12253775,8.836602716
0.123080747,8.857288097
0.12307977,8.878256224
0.123303952,8.899145263
0.123766953,8.919642788
0.124193551,8.939890994
0.124479677,8.960441332
0.125130968,8.981013363
0.125138173,9.001374634
0.125450084,9.022065699
0.125771159,9.043529423
0.125688931,9.065215259
0.126101274,9.086935796
0.127151103,9.108470447
0.127228552,9.129405675
0.127592374,9.149802148
0.128336445,9.170402954
0.128602468,9.19092001
0.129358008,9.211626618
0.129630087,9.232714071
0.129839389,9.254267643
0.130211001,9.275322066
0.130578508,9.296030321
0.131014917,9.317280926
0.131303993,9.338705259
0.131828961,9.360303878
0.13265865,9.382076266
0.132841278,9.403430876
0.132860699,9.424431363
0.133163132,9.445781117
0.133994229,9.467518416
0.13446076,9.488906894
0.134622158,9.509898741
0.135624708,9.530925831
0.135379188,9.551691918
0.135571227,9.571683231
0.136032805,9.591540491
0.13678229,9.612649035
0.136692384,9.634987406
0.137212062,9.657480874
0.137632966,9.67995593
0.138250317,9.70156057
0.138491449,9.722290688
0.138735436,9.743024007
0.139409349,9.763813103
0.139814952,9.784770117
0.140169465,9.806097851
0.141027369,9.828007106
0.141543922,9.849240138
0.141829086,9.870248305
0.142179222,9.89139229
0.142471868,9.912468091
0.142670558,9.933525034
0.143227998,9.955117908
0.143623626,9.97649575
0.143891029,9.997699215
0.144303983,10.01871764
0.144332851,10.03997112
0.14472514,10.06113112
0.145425998,10.08191347
0.145523696,10.10238853
0.145988121,10.12327094
0.146157018,10.14341238
0.14702984,10.16378103
0.14710404,10.18506696
0.147403021,10.20713037
0.148474709,10.22912
0.149163538,10.25104325
0.149296185,10.27265579
0.150190235,10.29336944
0.1509164,10.31380566
0.151318085,10.33420818
0.151054768,10.35448135
0.151159042,10.37486341
0.152046061,10.39593167
0.152212642,10.41701407
0.152388656,10.43816947
0.153149082,10.45908343
0.15348869,10.48038051
0.154190561,10.5016264
0.154934693,10.52314159
0.155442772,10.54421789
0.15592525,10.56518122
0.156368343,10.58646935
0.156637651,10.60796276
0.157091922,10.62923563
0.157791416,10.64965752
0.158079065,10.67008076
0.158469283,10.69015115
0.160089564,10.71012601
0.15996047,10.72951485
0.160602008,10.75016476
0.160888816,10.77154671
0.161301749,10.79323441
0.162066485,10.81504906
0.162688234,10.83662358
0.163205768,10.85695059
0.163610725,10.87643293
0.163922057,10.89661508
0.164794767,10.91726321
0.165251964,10.9376338
0.165888278,10.95862163
0.166650314,10.97966066
0.16685014,11.00017863
0.167521072,11.02053002
0.168372443,11.04121588
0.169031496,11.06206956
0.170029057,11.08285724
0.169847002,11.10388618
0.170397124,11.12469301
0.170708147,11.14502046
0.171703786,11.16530382
0.172185076,11.18553556
0.171900708,11.20614741
0.172556827,11.22662432
0.173412705,11.24696869
0.174383619,11.26690033
0.174721594,11.28601999
0.175006344,11.30550729
0.175662049,11.32620844
0.176355393,11.34721762
0.177148105,11.36791264
0.177774708,11.38877646
0.178242811,11.40855447
0.178831666,11.42789871
0.179314815,11.447369
0.179568932,11.46684595
0.180500596,11.48628134
0.181185107,11.50602842
0.181834288,11.52605948
0.182526049,11.54594425
0.183059685,11.56526126
0.183845073,11.58519665
0.184202043,11.60511382
0.184702097,11.62493548
0.185740761,11.64442093
0.186167315,11.66427415
0.186818182,11.68386466
0.187321445,11.70384236
0.188031703,11.72361846
0.188852146,11.74298421
0.189468839,11.76174747
0.189991042,11.78040417
0.190529256,11.79879489
0.191332532,11.81686237
0.191946377,11.83485023
0.192547139,11.85406231
0.193283693,11.873638
0.194156718,11.8931864
0.194871506,11.91299361
0.195459793,11.93224375
0.196388762,11.95076348
0.196796185,11.96897256
0.197681442,11.98733112
0.19850214,12.00554665
0.199240982,12.02376989
0.199939824,12.04251381
0.200059727,12.06143344
0.201109747,12.0795589
0.202049024,12.09764668
0.202365574,12.116142
0.203328011,12.1341306
0.204093444,12.15215055
0.204943185,12.17089925
0.205483151,12.18937372
0.206571107,12.20744293
0.207016724,12.22579928
0.208438861,12.25912732
0.2101248,12.30320549
0.212476605,12.34661731
0.214472447,12.39258744
0.216851262,12.43706104
0.2180929,12.47853819
0.220297296,12.5221576
0.222734231,12.56531752
0.225166166,12.60797921
0.227060804,12.65137801
